Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Plus South Holland/Chicago Southland,8.4 out of 10 Very good,215 verified reviews,8.6/10,8.6/10,8.4/10,8.6/10,8.4/10
Super 8 by Wyndham Marion,7.8 out of 10 Good,"1,000 verified reviews",8.0/10,8.2/10,6.8/10,7.4/10,6.8/10
Best Western Premier Alton-St. Louis Area Hotel,7.8 out of 10 Good,586 verified reviews,8.6/10,8.2/10,8.0/10,8.0/10,7.8/10
Country Hearth Inn & Suites Edwardsville St. Louis,8.6 out of 10 Excellent,494 verified reviews,9.0/10,9.0/10,8.2/10,8.6/10,8.8/10
Best Western Galena Inn & Suites,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.2/10
MainStay Suites Bourbonnais - Kankakee,8.4 out of 10 Very good,28 verified reviews,9.0/10,8.8/10,7.0/10,8.6/10,8.8/10
Best Western Plus Pontoon Beach,8.6 out of 10 Excellent,468 verified reviews,9.0/10,8.8/10,8.6/10,8.8/10,8.4/10
"Staybridge Suites Chicago O'Hare - Rosemont, an IHG Hotel",8.0 out of 10 Very good,"1,002 verified reviews",8.6/10,8.4/10,7.8/10,8.2/10,8.8/10
Super 8 by Wyndham Gurnee,6.8 out of 10 Good,"1,001 verified reviews",7.2/10,7.4/10,6.4/10,6.6/10,6.4/10
The Westin Michigan Avenue Chicago,8.6 out of 10 Excellent,"1,006 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
"Country Inn & Suites by Radisson, Stockton, IL",8.8 out of 10 Excellent,466 verified reviews,9.0/10,9.2/10,8.0/10,8.8/10,8.2/10
Sonesta Simply Suites Chicago O'Hare Airport,8.4 out of 10 Very good,"1,264 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.4/10
