Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
The Michelangelo Hotel,9.2 out of 10 Wonderful,"1,007 verified reviews",9.4/10,9.4/10,7.8/10,8.8/10,8.6/10
Homewood Suites New York/Midtown Manhattan Times Square,8.6 out of 10 Excellent,"1,142 verified reviews",8.6/10,8.8/10,8.6/10,8.6/10,8.4/10
The Ludlow Hotel,9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.0/10
The Renwick,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,7.6/10,8.6/10,8.4/10
The Muse New York,9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,8.0/10,9.0/10,8.8/10
Sanctuary Hotel New York,8.6 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.2/10,8.2/10,8.6/10,8.2/10
"Kimpton Hotel Theta, an IHG Hotel",9.2 out of 10 Wonderful,190 verified reviews,9.6/10,9.2/10,8.8/10,9.2/10,9.0/10
45 Times Square Hotel,8.4 out of 10 Very good,"1,041 verified reviews",8.8/10,8.8/10,8.0/10,8.4/10,8.4/10
The Shoreham Hotel,7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.4/10,7.0/10,7.2/10,7.6/10
Millennium Downtown New York,7.4 out of 10 Good,"2,394 verified reviews",7.8/10,7.8/10,6.8/10,7.2/10,7.4/10
DoubleTree by Hilton New York Times Square West,6.8 out of 10 Good,"1,798 verified reviews",7.2/10,7.2/10,6.4/10,6.8/10,7.2/10
Lotte New York Palace,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.6/10,8.6/10,8.6/10
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",7.2 out of 10 Good,"1,003 verified reviews",7.6/10,7.8/10,6.6/10,7.0/10,7.2/10
Courtyard New York Manhattan/ Midtown East,8.8 out of 10 Excellent,"1,871 verified reviews",9.0/10,9.0/10,8.2/10,8.6/10,8.4/10
RIU Plaza Manhattan Times Square,9.0 out of 10 Wonderful,"2,951 verified reviews",9.6/10,9.0/10,8.8/10,9.4/10,9.0/10
Motto By Hilton New York City Times Square,9.0 out of 10 Wonderful,410 verified reviews,9.6/10,9.4/10,9.0/10,9.2/10,9.2/10
