Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Country Inn & Suites by Radisson, Fayetteville I-95, NC",9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.8/10,8.8/10,8.8/10
Comfort Inn University,8.4 out of 10 Very good,"1,006 verified reviews",8.6/10,8.8/10,8.0/10,8.4/10,8.2/10
Hatteras Island Inn,7.8 out of 10 Good,967 verified reviews,8.0/10,8.4/10,8.0/10,7.4/10,8.2/10
Spring Lake Inn & Suites - Fayetteville,7.0 out of 10 Good,844 verified reviews,7.4/10,8.0/10,5.8/10,7.0/10,6.0/10
Hilton Garden Inn Asheville Downtown,9.2 out of 10 Wonderful,717 verified reviews,9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
The Durham Hotel,9.0 out of 10 Wonderful,466 verified reviews,9.4/10,9.2/10,8.6/10,9.0/10,8.8/10
"Country Inn & Suites by Radisson, Boone, NC",7.6 out of 10 Good,"1,002 verified reviews",7.8/10,8.2/10,7.6/10,7.6/10,7.8/10
Best Western Plus Cary Inn - NC State,7.6 out of 10 Good,"1,003 verified reviews",7.6/10,8.2/10,7.4/10,7.2/10,7.2/10
Sonesta ES Suites Charlotte Arrowood,7.2 out of 10 Good,"1,001 verified reviews",7.2/10,8.0/10,7.2/10,7.0/10,6.6/10
Residence Inn by Marriott Wilmington Landfall,9.0 out of 10 Wonderful,299 verified reviews,9.0/10,9.2/10,8.6/10,8.8/10,8.4/10
Laurel Park Inn,8.6 out of 10 Excellent,272 verified reviews,8.8/10,9.0/10,7.6/10,8.2/10,8.4/10
DoubleTree by Hilton Charlotte Uptown,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,9.0/10,8.0/10,8.6/10,8.4/10
Best Western Plus Edison Inn,8.4 out of 10 Very good,852 verified reviews,8.8/10,9.0/10,7.6/10,8.4/10,8.0/10
Microtel Inn by Wyndham Raleigh Durham Airport,7.2 out of 10 Good,"1,001 verified reviews",7.2/10,7.6/10,6.4/10,6.8/10,8.0/10
Etowah Valley Golf & Resort,8.2 out of 10 Very good,520 verified reviews,8.6/10,8.8/10,7.8/10,8.0/10,7.6/10
Red Roof Inn PLUS+ Raleigh Downtown – NCSU/Conv Center,6.8 out of 10 Good,"1,004 verified reviews",6.8/10,7.4/10,6.0/10,6.6/10,6.4/10
JB Duke Hotel,9.4 out of 10 Exceptional,381 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
Courtyard by Marriott Charlotte Airport North,7.4 out of 10 Good,"1,003 verified reviews",7.8/10,8.2/10,6.8/10,7.4/10,7.6/10
Days Inn by Wyndham Raleigh Midtown,7.4 out of 10 Good,"1,002 verified reviews",7.2/10,8.0/10,7.0/10,7.0/10,7.2/10
"Country Inn & Suites by Radisson, Lake Norman Huntersville, NC",8.4 out of 10 Very good,"1,009 verified reviews",8.6/10,9.0/10,8.2/10,8.2/10,8.4/10
Fairfield Inn & Suites by Marriott Wilmington,9.0 out of 10 Wonderful,"1,003 verified reviews",9.0/10,9.2/10,8.4/10,8.8/10,8.6/10
"Wingate by Wyndham Matthews, NC",7.8 out of 10 Good,"1,001 verified reviews",7.8/10,8.4/10,7.6/10,7.4/10,7.6/10
The Inn at Shady Lawn,9.4 out of 10 Exceptional,166 verified reviews,9.4/10,9.6/10,8.6/10,9.0/10,9.0/10
Best Western Plus Coastline Inn,9.0 out of 10 Wonderful,"1,002 verified reviews",9.0/10,9.4/10,8.4/10,8.8/10,8.6/10
Homewood Suites By Hilton Charlotte Uptown First Ward,9.2 out of 10 Wonderful,313 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.4/10
SeaWitch Motel,9.0 out of 10 Wonderful,860 verified reviews,9.2/10,9.2/10,8.6/10,8.8/10,9.0/10
Days Inn by Wyndham Raleigh-Airport-Research Triangle Park,7.4 out of 10 Good,"1,002 verified reviews",7.6/10,8.0/10,7.0/10,7.2/10,7.2/10
Shell Island Resort - All Oceanfront Suites,8.4 out of 10 Very good,"1,097 verified reviews",8.0/10,8.8/10,7.8/10,7.8/10,8.2/10
Fairfield Inn & Suites by Marriott Asheville Airport/Fletcher,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,9.0/10
Microtel Inn by Wyndham Greensboro,6.8 out of 10 Good,"1,000 verified reviews",7.2/10,7.6/10,6.6/10,6.8/10,7.0/10
Days Inn by Wyndham Weldon/Roanoke Rapids,6.8 out of 10 Good,"1,000 verified reviews",6.8/10,7.8/10,6.0/10,6.6/10,5.8/10
Super 8 by Wyndham Salisbury,7.4 out of 10 Good,"1,001 verified reviews",7.8/10,8.0/10,7.0/10,7.2/10,7.2/10
Country Hearth Inn Knightdale Raleigh,7.8 out of 10 Good,402 verified reviews,8.0/10,8.6/10,7.0/10,7.4/10,7.6/10
Hotel Manteo,8.0 out of 10 Very good,174 verified reviews,8.0/10,8.6/10,7.4/10,7.6/10,8.0/10
